Vrms,1508753676297,0,1250.0
Irms,1508753681372,0,100.0
Apparent Power,1508753682244,0,125000.0
Active Power,1508753682327,0,125000.0
Reactive Power,1508753684706,0,0.0
Vrms,1508753746604,0,1250.0
Irms,1508753747017,0,100.0
Apparent Power,1508753747388,0,125000.0
Active Power,1508753747388,0,125000.0
Reactive Power,1508753747389,0,0.0
Vrms,1508753807393,0,1250.0
Irms,1508753807393,0,100.0
Apparent Power,1508753807393,0,125000.0
Active Power,1508753807393,0,125000.0
Reactive Power,1508753807393,0,0.0
Vrms,1508753867399,0,1250.0
Irms,1508753867399,0,100.0
Apparent Power,1508753867399,0,125000.0
Active Power,1508753867400,0,125000.0
Reactive Power,1508753867400,0,0.0
Vrms,1508753930646,0,1250.0
Irms,1508753933945,0,100.0
Apparent Power,1508753938746,0,125000.0
Active Power,1508753939976,0,125000.0
Reactive Power,1508753939976,0,0.0
